vOTU	MI02	MI09	MI13	MI20	MII02	MII09	MII13	MII20	MIII02	MIII09	MIII13	MIII20
vsNODE207_01	0	8637	0	0	0	4221	0	0	0	5143	0	0
vsNODE209_01	0	0	4017	7531	0	0	3353	7792	0	0	3753	7759
vsNODE21_01	13684	0	0	0	12379	0	0	0	15001	1322	0	0
vsNODE21_02	0	4166	0	0	0	5768	0	0	0	4583	0	0
vsNODE211_01	0	0	3030	3862	0	0	3030	2843	0	0	3360	3440
vsNODE211_02	0	7250	0	0	0	7359	0	0	0	7362	0	0
vsNODE212_01	0	4410	0	0	0	5299	0	0	0	4788	0	0
vsNODE214_01	11388	1355	0	0	12193	1649	0	0	13529	3070	0	0
vsNODE216_01	0	0	1052	7886	0	0	1747	8329	0	0	2004	22576
vsNODE217_01	4729	0	0	0	4599	0	0	0	4295	0	0	0
vsNODE218_01	0	1557	28496	36346	0	0	26411	27549	0	1465	22416	27463
vsNODE219_01	0	4771	0	0	0	4753	0	0	0	3231	0	0
vsNODE22_01	9278	0	0	0	11445	0	0	0	11073	1579	0	0
vsNODE22_02	5885	0	0	0	6710	0	0	0	7293	963	0	0
vsNODE221_01	0	3990	0	0	0	2181	0	0	0	3421	0	0
vsNODE222_01	28533	4689	0	0	24752	5307	0	0	30929	11196	0	0
vsNODE222_02	24939	1513	0	0	25576	2220	0	0	29604	4533	0	0
vsNODE224_01	7983	8142	0	0	7317	11212	0	0	0	18977	0	0
vsNODE226_01	0	0	680	3274	0	0	0	2967	0	0	0	2834
vsNODE232_01	0	2821	0	0	0	3536	0	0	0	3628	0	0
vsNODE232_02	7877	689	0	0	6154	2012	0	0	7562	1132	0	0
vsNODE235_01	0	0	27698	13557	0	0	24634	11580	0	0	22983	12438
vsNODE236_01	0	0	0	5478	0	0	0	5881	0	0	0	6026
vsNODE238_01	66679	7691	0	1099	67149	10826	0	0	72021	18741	0	0
vsNODE238_02	3446	0	0	0	3513	0	0	0	3263	0	0	0
vsNODE239_01	0	0	0	4061	0	0	0	3274	0	0	0	3192
vsNODE240_01	0	975	18186	8155	0	0	14894	6876	0	0	14527	6273
vsNODE241_01	14732	1625	0	0	15481	2037	0	0	16530	2647	0	0
vsNODE25_01	0	0	663	3861	0	0	0	5345	0	0	0	5214
vsNODE250_01	13268	3682	0	0	14084	4917	0	0	13158	8468	0	0
vsNODE251_01	6667	0	0	0	7142	0	0	0	7284	0	0	0
vsNODE256_01	23385	19938	0	1178	24995	23289	0	0	23884	27563	0	0
vsNODE258_01	4578	0	0	0	3547	0	0	0	4799	1187	0	0
vsNODE261_01	4537	3486	0	0	2437	2903	0	0	4006	7568	0	0
vsNODE262_01	0	10575	0	0	0	9993	0	0	0	8224	0	0
vsNODE263_01	0	0	850	3384	0	0	0	3124	0	0	0	3017
vsNODE264_01	0	2804	0	0	0	3784	0	0	0	5393	0	0
vsNODE268_01	0	3846	0	0	0	2947	0	0	0	2176	0	0
vsNODE268_02	13104	1927	0	0	13447	2815	0	0	13636	5934	0	0
vsNODE268_03	5480	0	0	0	5224	0	0	0	4836	1063	0	0
vsNODE27_01	7900	4211	0	0	6215	5009	0	0	7770	6963	0	0
vsNODE27_02	13330	0	0	0	12392	0	0	0	15235	1343	0	0
vsNODE270_01	0	0	2053	4952	0	0	1580	3603	0	0	1470	3330
vsNODE272_01	17036	1360	0	0	18336	2109	0	0	17202	3961	0	0
vsNODE273_01	0	23351	0	1856	0	18527	0	1338	0	12958	0	0
vsNODE273_02	6718	0	0	0	7480	0	0	0	7927	1095	0	0
